0.501187234,2.500002417,15877.785530611,15877.785727428,-1.570638874
0.502342590,2.500002428,15841.267602810,15841.267800080,-1.570638511
0.503500609,2.500002440,15804.833663832,15804.833861556,-1.570638147
0.504661298,2.500002451,15768.483520509,15768.483718689,-1.570637783
0.505824662,2.500002462,15732.216980116,15732.217178753,-1.570637417
0.506990708,2.500002473,15696.033850371,15696.034049466,-1.570637051
0.508159443,2.500002485,15659.933939435,15659.934138989,-1.570636684
0.509330871,2.500002496,15623.917055910,15623.917255924,-1.570636316
0.510505000,2.500002508,15587.983008838,15587.983209313,-1.570635947
0.511681836,2.500002519,15552.131607700,15552.131808637,-1.570635577
0.512861384,2.500002531,15516.362662416,15516.362863816,-1.570635206
0.514043652,2.500002543,15480.675983342,15480.676185207,-1.570634835
0.515228645,2.500002554,15445.071381270,15445.071583601,-1.570634463
0.516416369,2.500002566,15409.548667430,15409.548870227,-1.570634090
0.517606832,2.500002578,15374.107653483,15374.107856748,-1.570633716
0.518800039,2.500002590,15338.748151525,15338.748355257,-1.570633341
0.519995997,2.500002602,15303.469974082,15303.470178284,-1.570632965
0.521194711,2.500002614,15268.272934113,15268.273138786,-1.570632588
0.522396189,2.500002626,15233.156845008,15233.157050153,-1.570632211
0.523600437,2.500002638,15198.121520584,15198.121726202,-1.570631833
0.524807460,2.500002650,15163.166775087,15163.166981179,-1.570631453
0.526017266,2.500002663,15128.292423191,15128.292629758,-1.570631073
0.527229861,2.500002675,15093.498279995,15093.498487038,-1.570630692
0.528445252,2.500002687,15058.784161025,15058.784368546,-1.570630311
0.529663444,2.500002700,15024.149882229,15024.150090228,-1.570629928
0.530884444,2.500002712,14989.595259981,14989.595468459,-1.570629544
0.532108259,2.500002725,14955.120111074,14955.120320033,-1.570629160
0.533334895,2.500002737,14920.724252726,14920.724462166,-1.570628774
0.534564359,2.500002750,14886.407502572,14886.407712495,-1.570628388
0.535796658,2.500002763,14852.169678668,14852.169889076,-1.570628001
0.537031796,2.500002775,14818.010599490,14818.010810383,-1.570627613
0.538269783,2.500002788,14783.930083929,14783.930295308,-1.570627224
0.539510623,2.500002801,14749.927951294,14749.928163160,-1.570626834
0.540754323,2.500002814,14716.004021308,14716.004233663,-1.570626444
0.542000890,2.500002827,14682.158114111,14682.158326955,-1.570626052
0.543250331,2.500002840,14648.390050255,14648.390263589,-1.570625659
0.544502653,2.500002853,14614.699650704,14614.699864530,-1.570625266
0.545757861,2.500002866,14581.086736836,14581.086951155,-1.570624872
0.547015963,2.500002879,14547.551130438,14547.551345252,-1.570624476
0.548276965,2.500002893,14514.092653709,14514.092869017,-1.570624080
0.549540874,2.500002906,14480.711129253,14480.711345058,-1.570623683
0.550807696,2.500002919,14447.406380087,14447.406596389,-1.570623285
0.552077439,2.500002933,14414.178229631,14414.178446432,-1.570622886
0.553350109,2.500002946,14381.026501713,14381.026719014,-1.570622486
0.554625713,2.500002960,14347.951020566,14347.951238368,-1.570622086
0.555904257,2.500002974,14314.951610827,14314.951829131,-1.570621684
0.557185749,2.500002987,14282.028097537,14282.028316344,-1.570621281
0.558470195,2.500003001,14249.180306138,14249.180525449,-1.570620878
0.559757601,2.500003015,14216.408062474,14216.408282291,-1.570620473
0.561047976,2.500003029,14183.711192791,14183.711413114,-1.570620068
0.562341325,2.500003043,14151.089523732,14151.089744564,-1.570619662
0.563637656,2.500003057,14118.542882341,14118.543103682,-1.570619254
0.564936975,2.500003071,14086.071096060,14086.071317911,-1.570618846
0.566239289,2.500003085,14053.673992725,14053.674215087,-1.570618437
0.567544605,2.500003100,14021.351400570,14021.351623445,-1.570618027
0.568852931,2.500003114,13989.103148225,13989.103371614,-1.570617616
0.570164272,2.500003128,13956.929064712,13956.929288616,-1.570617204
0.571478637,2.500003143,13924.828979448,13924.829203868,-1.570616791
0.572796031,2.500003157,13892.802722241,13892.802947178,-1.570616377
0.574116462,2.500003172,13860.850123290,13860.850348746,-1.570615962
0.575439937,2.500003186,13828.971013188,13828.971239163,-1.570615547
0.576766463,2.500003201,13797.165222913,13797.165449409,-1.570615130
0.578096047,2.500003216,13765.432583834,13765.432810853,-1.570614712
0.579428696,2.500003231,13733.772927709,13733.773155251,-1.570614294
0.580764418,2.500003246,13702.186086681,13702.186314747,-1.570613874
0.582103218,2.500003261,13670.671893279,13670.672121872,-1.570613453
0.583445104,2.500003276,13639.230180419,13639.230409538,-1.570613032
0.584790084,2.500003291,13607.860781400,13607.861011047,-1.570612609
0.586138165,2.500003306,13576.563529904,13576.563760080,-1.570612186
0.587489353,2.500003321,13545.338259996,13545.338490703,-1.570611761
0.588843655,2.500003337,13514.184806123,13514.185037362,-1.570611336
0.590201080,2.500003352,13483.103003113,13483.103234885,-1.570610909
0.591561634,2.500003367,13452.092686172,13452.092918479,-1.570610482
0.592925325,2.500003383,13421.153690888,13421.153923730,-1.570610053
0.594292159,2.500003399,13390.285853225,13390.286086604,-1.570609624
0.595662144,2.500003414,13359.489009524,13359.489243441,-1.570609194
0.597035287,2.500003430,13328.762996505,13328.763230961,-1.570608762
0.598411595,2.500003446,13298.107651259,13298.107886256,-1.570608330
0.599791076,2.500003462,13267.522811257,13267.523046795,-1.570607896
0.601173737,2.500003478,13237.008314340,13237.008550421,-1.570607462
0.602559586,2.500003494,13206.563998724,13206.564235349,-1.570607027
0.603948629,2.500003510,13176.189702995,13176.189940165,-1.570606590
0.605340875,2.500003526,13145.885266112,13145.885503829,-1.570606153
0.606736330,2.500003542,13115.650527404,13115.650765670,-1.570605715
